Jabatan 1,Jabatan 2
KEPALA SUB BAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN FUNGSIONAL,KEPALA SUBBAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN FUNGSIONAL
KEPALA SUB BAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN STRUKTURAL,KEPALA SUBBAGIAN PERENCANAAN DAN PENGEMBANGAN KARIER JABATAN STRUKTURAL
KEPALA SUB BAGIAN PERENCANAAN DAN UMUM,KEPALA SUBBAGIAN PERENCANAAN DAN UMUM
"KEPALA SUB BAGIAN PERENCANAAN, DATA DAN INFORMASI","KEPALA SUBBAGIAN PERENCANAAN, DATA DAN INFORMASI"
KEPALA SUB BAGIAN PERSIDANGAN,KEPALA SUBBAGIAN PERSIDANGAN
KEPALA SUB BAGIAN PERSURATAN DAN ARSIP,KEPALA SUBBAGIAN PERSURATAN DAN ARSIP
KEPALA SUB BAGIAN PROTOKOL,KEPALA SUBBAGIAN PROTOKOL
KEPALA SUB BAGIAN REKAPITULASI HASIL PENGHITUNGAN SUARA,KEPALA SUBBAGIAN REKAPITULASI HASIL PENGHITUNGAN SUARA
KEPALA SUB BAGIAN SARANA DAN PRASARANA PERKANTORAN,KEPALA SUBBAGIAN SARANA DAN PRASARANA PERKANTORAN
KEPALA SUB BAGIAN SISTEM DAN PROSEDUR PERENCANAAN,KEPALA SUBBAGIAN SISTEM DAN PROSEDUR PERENCANAAN
KEPALA SUB BAGIAN TATA LAKSANA,KEPALA SUBBAGIAN TATA LAKSANA
KEPALA SUB BAGIAN TATA PENYIAPAN DAN PENGELOLAAN MATERI PENDIDIKAN PEMILIH,KEPALA SUBBAGIAN TATA PENYIAPAN DAN PENGELOLAAN MATERI PENDIDIKAN PEMILIH
KEPALA SUB BAGIAN TATA USAHA BIRO PARTISIPASI DAN HUBUNGAN MASYARAKAT,KEPALA SUBBAGIAN TATA USAHA BIRO PARTISIPASI DAN HUBUNGAN MASYARAKAT
KEPALA SUB BAGIAN TATA USAHA BIRO PERENCANAAN DAN ORGANISASI,KEPALA SUBBAGIAN TATA USAHA BIRO PERENCANAAN DAN ORGANISASI
KEPALA SUB BAGIAN TATA USAHA BIRO SUMBER DAYA MANUSIA,KEPALA SUBBAGIAN TATA USAHA BIRO SUMBER DAYA MANUSIA
KEPALA SUB BAGIAN TATA USAHA BIRO TEKNIS PENYELENGGARAAN PEMILU,KEPALA SUBBAGIAN TATA USAHA BIRO TEKNIS PENYELENGGARAAN PEMILU
KEPALA SUB BAGIAN TATA USAHA BIRO UMUM,KEPALA SUBBAGIAN TATA USAHA BIRO UMUM
KEPALA SUB BAGIAN TATA USAHA DEPUTI BIDANG ADMINISTRASI,KEPALA SUBBAGIAN TATA USAHA DEPUTI BIDANG ADMINISTRASI
Kepala SUB BAGIAN TATA USAHA DEPUTI BIDANG DUKUNGAN TEKNIS,KEPALA SUBBAGIAN TATA USAHA DEPUTI BIDANG DUKUNGAN TEKNIS
KEPALA SUB BAGIAN TATA USAHA KETUA DAN ANGGOTA KPU,KEPALA SUBBAGIAN TATA USAHA KETUA DAN ANGGOTA KPU
KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM,KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU DAN HUKUM
"KEPALA SUB BAGIAN TEKNIS PENYELENGGARAAN PEMILU, PARTISIPASI DAN HUBUNGAN MASYARAKAT","KEPALA SUBBAGIAN TEKNIS PENYELENGGARAAN PEMILU, PARTISIPASI DAN HUBUNGAN MASYARAKAT"
KEPALA SUB BAGIAN UMUM DAN LOGISTIK,KEPALA SUBBAGIAN UMUM DAN LOGISTIK
KEPALA SUB PERENCANAAN,KEPALA SUB PERENCANAAN
Kepala SUBBAGIAN ADVOKASI DAN PENELAAHAN HUKUM,KEPALA SUB BAGIAN ADVOKASI DAN PENELAAHAN HUKUM
Kepala SUBBAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH I,KEPALA SUB BAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH I
Kepala SUBBAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH II,KEPALA SUB BAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH II
Kepala SUBBAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH III,KEPALA SUB BAGIAN AKUNTANSI DAN PELAPORAN KEUANGAN WILAYAH III
Kepala SUBBAGIAN BIMBINGAN PERBENDAHARAAN,KEPALA SUB BAGIAN BIMBINGAN PERBENDAHARAAN
Kepala SUBBAGIAN DOKUMENTASI LOGISTIK,KEPALA SUB BAGIAN DOKUMENTASI LOGISTIK
Kepala SUBBAGIAN GAJI DAN PENATAUSAHAAN PIUTANG,KEPALA SUB BAGIAN GAJI DAN PENATAUSAHAAN PIUTANG
Kepala SUBBAGIAN HUKUM,KEPALA SUB BAGIAN HUKUM
"KEPALA SUBBAGIAN KEUANGAN, UMUM DAN LOGISTIK","KEPALA SUB BAGIAN KEUANGAN, UMUM DAN LOGISTIK"
Kepala SUBBAGIAN MONITORING DAN EVALUASI LOGISTIK,KEPALA SUB BAGIAN MONITORING DAN EVALUASI LOGISTIK
Kepala SUBBAGIAN PARTISIPASI DAN HUBUNGAN MASYARAKAT,KEPALA SUB BAGIAN PARTISIPASI DAN HUBUNGAN MASYARAKAT
